C,axis,max_abs_before,max_abs_after,p99_before,p99_after
1.5,acc_x,19.10058014,14.92321701,14.372393951299983,13.530096519916658
1.5,acc_y,40.30982529,27.17987915,27.14919895379997,24.01379954409997
1.5,acc_z,25.90063934,16.43177994,17.042408133299947,15.203131551049994
2.0,acc_x,19.10058014,17.01287155,14.372393951299983,14.297693292899934
2.0,acc_y,40.30982529,30.25059357,27.14919895379997,25.634545187699974
2.0,acc_z,25.90063934,19.07438461,17.042408133299947,16.774185403249966
2.5,acc_x,19.10058014,18.80614243,14.372393951299983,14.372393951299983
2.5,acc_y,40.30982529,32.85083633,27.14919895379997,26.673337013999998
2.5,acc_z,25.90063934,21.30399811,17.042408133299947,17.02092330829999
3.0,acc_x,19.10058014,19.10058014,14.372393951299983,14.372393951299983
3.0,acc_y,40.30982529,35.37398941,27.14919895379997,27.11402359399997
3.0,acc_z,25.90063934,22.63263519,17.042408133299947,17.042408133299947
