threshold,axis,max_abs_before,max_abs_after,p99_before,p99_after
1.2,acc_x,19.10058014,18.64103577,14.372393951299983,14.056176533199997
1.2,acc_y,40.30982529,37.16755966,27.14919895379997,26.6723849923
1.2,acc_z,25.90063934,21.90439957,17.042408133299947,16.933096447999997
1.5,acc_x,19.10058014,19.05342819,14.372393951299983,14.333913475999962
1.5,acc_y,40.30982529,38.7237236,27.14919895379997,27.00561753229996
1.5,acc_z,25.90063934,22.63263519,17.042408133299947,17.007500718899966
2.0,acc_x,19.10058014,19.10058014,14.372393951299983,14.365285233399995
2.0,acc_y,40.30982529,38.7237236,27.14919895379997,27.11402359399997
2.0,acc_z,25.90063934,22.63263519,17.042408133299947,17.0144193346
